CLAVE_ESTADO,ID,year,MES,MES_NUM,CLAVE_MUNICIPIO,MILITAR_MUERTO_NUM,MILITAR_HERIDO_NUM,AGRESOR_MUERTO_NUM,AGRESOR_HERIDO_NUM,AGRESOR_DETENIDO_NUM,enfren
1,100,2008,agosto,8,1007,1,0,1,2,0,1
1,574,2010,junio,6,1007,0,0,1,0,3,1
1,1767,2011,octubre,10,1004,0,0,0,1,4,1
1,977,2010,diciembre,12,1004,0,0,0,1,1,1
2,333,2009,noviembre,11,2004,0,1,0,0,0,1
2,4293,2018,abril,4,2003,0,0,0,0,0,1
2,160,2009,febrero,2,2004,0,0,1,0,0,1
2,133,2008,octubre,10,2004,0,0,0,0,1,1
2,4609,2019,junio,6,2001,0,0,1,0,0,1
2,30,2007,julio,7,2004,1,0,0,0,0,1
2,322,2009,noviembre,11,2004,0,1,1,0,9,1
2,271,2009,agosto,8,2004,0,0,0,0,0,1
2,267,2009,agosto,8,2004,0,0,1,0,0,1
2,3139,2013,agosto,8,2001,0,0,0,0,0,1
2,1491,2011,julio,7,2003,0,0,1,0,5,1
2,3000,2013,mayo,5,2001,1,0,0,0,0,1
2,4277,2018,marzo,3,2001,0,0,1,0,5,1
2,138,2008,diciembre,12,2004,0,2,0,0,4,1
2,1023,2011,enero,1,2005,0,0,1,0,12,1
2,865,2010,octubre,10,2004,0,0,1,0,2,1
2,121,2008,octubre,10,2004,1,0,4,0,1,1
2,1150,2011,marzo,3,2001,0,2,0,0,4,1
2,60,2008,marzo,3,2004,0,0,0,1,2,1
2,2902,2013,marzo,3,2001,0,0,0,0,0,1
2,62,2008,marzo,3,2004,0,0,0,0,0,1
3,1833,2011,octubre,10,3008,0,0,1,0,0,1
3,1289,2011,abril,4,3003,0,0,0,0,2,1
3,1835,2011,octubre,10,3008,0,0,0,0,1,1
4,472,2010,marzo,3,4003,0,0,0,0,6,1
5,1946,2011,diciembre,12,5030,1,1,8,0,0,1
5,2893,2013,febrero,2,5002,0,0,2,0,0,1
5,2514,2012,agosto,8,5030,0,0,0,0,0,1
5,2577,2012,septiembre,9,5028,0,0,2,0,0,1
5,2844,2013,enero,1,5030,0,0,1,0,0,1
5,2113,2012,febrero,2,5030,0,1,0,0,0,1
5,1799,2011,octubre,10,5025,0,0,0,0,0,1
5,2524,2012,agosto,8,5025,0,1,0,0,2,1
5,772,2010,septiembre,9,5035,0,0,0,0,4,1
5,1919,2011,diciembre,12,5025,0,0,0,0,0,1
5,320,2009,octubre,10,5035,0,0,0,1,2,1
5,2654,2012,octubre,10,5025,0,0,0,0,0,1
5,1198,2011,marzo,3,5025,0,3,0,0,0,1
5,1982,2011,diciembre,12,5030,0,0,0,0,0,1
5,2030,2012,enero,1,5002,0,0,0,0,0,1
5,894,2010,noviembre,11,5030,0,0,2,0,0,1
5,618,2010,junio,6,5035,0,0,0,0,0,1
5,1563,2011,julio,7,5035,0,0,2,0,0,1
5,2276,2012,abril,4,5030,0,0,0,0,3,1
5,2340,2012,mayo,5,5030,0,0,3,0,0,1
5,1763,2011,octubre,10,5002,0,0,0,0,0,1
5,870,2010,octubre,10,5035,0,1,0,0,0,1
5,1932,2011,diciembre,12,5011,0,0,1,0,4,1
5,2267,2012,abril,4,5020,0,0,0,0,46,1
5,1175,2011,marzo,3,5036,0,0,5,0,3,1
5,562,2010,mayo,5,5025,1,1,0,0,3,1
5,1192,2011,marzo,3,5030,0,0,2,0,2,1
5,2659,2012,octubre,10,5003,0,0,2,0,0,1
5,4640,2019,agosto,8,5015,0,1,0,0,0,1
5,2662,2012,octubre,10,5022,0,0,3,0,0,1
5,2213,2012,marzo,3,5030,0,0,1,0,0,1
5,1390,2011,mayo,5,5035,0,0,1,0,5,1
5,2684,2012,noviembre,11,5025,0,0,1,0,0,1
5,342,2009,diciembre,12,5035,0,4,0,0,0,1
5,2262,2012,abril,4,5025,0,1,1,0,1,1
5,2935,2013,marzo,3,5033,0,0,3,0,0,1
5,1651,2011,agosto,8,5033,0,0,0,0,0,1
5,1350,2011,mayo,5,5030,0,0,0,0,0,1
5,2565,2012,septiembre,9,5030,0,0,1,0,7,1
5,2437,2012,julio,7,5004,0,0,0,0,0,1
5,1942,2011,diciembre,12,5017,0,0,2,0,0,1
5,2954,2013,abril,4,5009,0,0,0,1,0,1
5,2038,2012,enero,1,5030,0,0,1,0,0,1
5,305,2009,octubre,10,5002,0,0,0,0,2,1
5,1532,2011,julio,7,5030,0,0,0,0,0,1
5,2856,2013,enero,1,5025,0,0,3,0,0,1
5,1862,2011,noviembre,11,5027,0,1,2,0,0,1
5,681,2010,julio,7,5035,0,0,0,0,2,1
5,1784,2011,octubre,10,5030,0,0,0,0,0,1
5,985,2011,enero,1,5030,0,0,0,1,3,1
5,1648,2011,agosto,8,5017,0,2,0,0,0,1
5,4659,2019,septiembre,9,5025,0,0,0,0,0,1
5,1979,2011,diciembre,12,5030,0,1,0,0,0,1
5,2071,2012,febrero,2,5002,0,0,0,0,0,1
5,1869,2011,noviembre,11,5012,0,0,0,0,0,1
5,2579,2012,septiembre,9,5017,0,0,0,0,9,1
5,2854,2013,enero,1,5025,0,0,2,0,0,1
5,136,2008,noviembre,11,5002,0,0,1,0,0,1
5,837,2010,octubre,10,5035,0,0,1,0,4,1
5,1521,2011,julio,7,5030,0,0,3,0,0,1
5,1918,2011,diciembre,12,5030,0,1,1,0,0,1
5,385,2010,febrero,2,5035,0,1,7,1,3,1
5,1190,2011,marzo,3,5031,0,0,0,0,0,1
5,2447,2012,julio,7,5004,0,0,4,0,7,1
5,3487,2014,agosto,8,5014,0,0,1,0,0,1
5,2383,2012,junio,6,5036,0,0,0,0,2,1
5,61,2008,marzo,3,5035,0,0,1,0,0,1
5,2944,2013,abril,4,5018,0,0,2,0,7,1
5,2310,2012,mayo,5,5030,0,0,1,1,3,1
5,1912,2011,diciembre,12,5030,0,1,0,0,0,1
5,1503,2011,julio,7,5035,0,0,1,0,0,1
5,2891,2013,febrero,2,5032,0,0,0,0,0,1
5,2482,2012,agosto,8,5018,0,0,1,0,0,1
5,182,2009,marzo,3,5035,0,1,0,0,0,1
5,2015,2012,enero,1,5033,0,0,3,0,0,1
5,275,2009,septiembre,9,5035,0,0,0,0,2,1
5,1204,2011,marzo,3,5027,0,0,2,0,0,1
5,2872,2013,febrero,2,5018,0,0,0,1,3,1
5,1735,2011,septiembre,9,5035,0,0,1,0,1,1
5,1800,2011,octubre,10,5025,0,1,0,0,0,1
5,1993,2012,enero,1,5025,0,0,0,2,3,1
5,1360,2011,mayo,5,5018,2,4,0,0,0,1
5,3019,2013,mayo,5,5004,0,0,1,0,0,1
5,2625,2012,octubre,10,5022,0,0,0,0,0,1
5,1994,2012,enero,1,5035,0,0,1,2,2,1
5,1798,2011,octubre,10,5025,0,0,0,0,0,1
5,1685,2011,agosto,8,5030,0,0,3,0,0,1
5,1740,2011,septiembre,9,5035,0,0,0,2,2,1
5,2840,2013,enero,1,5002,0,1,5,0,0,1
5,2998,2013,mayo,5,5032,0,0,0,0,0,1
5,2083,2012,febrero,2,5018,0,0,0,1,1,1
5,2154,2012,marzo,3,5030,0,0,0,0,0,1
5,186,2009,marzo,3,5009,0,3,4,4,4,1
5,2372,2012,junio,6,5009,0,4,1,0,0,1
5,2339,2012,mayo,5,5030,0,0,0,0,0,1
5,1773,2011,octubre,10,5020,0,0,0,0,4,1
5,731,2010,agosto,8,5002,0,0,0,0,1,1
5,2088,2012,febrero,2,5002,0,0,0,0,0,1
5,48,2007,diciembre,12,5035,3,1,0,0,0,1
5,941,2010,diciembre,12,5035,0,0,0,0,0,1
5,1752,2011,septiembre,9,5030,0,0,0,0,0,1
5,2698,2012,noviembre,11,5025,0,0,2,0,0,1
5,2035,2012,enero,1,5030,0,0,4,0,0,1
5,2287,2012,mayo,5,5035,0,0,0,0,0,1
5,1906,2011,diciembre,12,5012,0,0,0,0,22,1
5,2066,2012,febrero,2,5022,0,0,0,0,1,1
5,1585,2011,julio,7,5035,0,0,1,0,0,1
5,2385,2012,junio,6,5007,0,0,0,0,1,1
5,999,2011,enero,1,5035,0,0,1,0,0,1
5,2070,2012,febrero,2,5025,0,0,0,0,0,1
5,2850,2013,enero,1,5025,0,0,0,0,0,1
5,1000,2011,enero,1,5035,0,0,0,0,0,1
5,825,2010,octubre,10,5013,0,0,0,0,0,1
5,1209,2011,marzo,3,5003,0,0,0,3,5,1
5,2162,2012,marzo,3,5018,0,0,0,0,0,1
5,1984,2011,diciembre,12,5030,0,0,0,0,0,1
5,1945,2011,diciembre,12,5030,0,0,1,0,0,1
5,2082,2012,febrero,2,5025,0,0,0,0,0,1
