clave_entidad,clave_municipal,poblacion_2020,pob_acce_muy_baja_o_baja,porc_pob_acce_muy_baja_o_baja
1,1001,"948,990","1,023",0.1
1,1002,"51,536",175,0.3
1,1003,"58,250",601,1
1,1004,"17,000",3,0
1,1005,"129,929",59,0
1,1006,"47,646",72,0.2
1,1007,"57,369",77,0.1
1,1008,"9,552",417,4.4
1,1009,"22,485",3,0
1,1010,"20,853",49,0.2
1,1011,"61,997",7,0
2,2001,"443,807","9,728",2.2
2,2002,"1,049,792","3,195",0.3
2,2003,"108,440","2,313",2.1
2,2004,"1,922,523","4,559",0.2
2,2005,"126,890","2,284",1.8
2,2006,"117,568","5,534",4.7
3,3001,"73,021","2,700",3.7
3,3002,"64,022","59,163",92.4
3,3003,"292,241","4,905",1.7
3,3008,"351,111","4,458",1.3
3,3009,"18,052","1,017",5.6
4,4001,"59,232",26,0
4,4002,"294,077",320,0.1
4,4003,"248,845","1,447",0.6
4,4004,"78,170",362,0.5
4,4005,"31,917",143,0.4
4,4006,"42,140","6,353",15.1
4,4007,"8,683",689,7.9
4,4008,"11,452",440,3.8
4,4009,"59,923",312,0.5
4,4010,"31,714",228,0.7
4,4011,"46,913","5,635",12
4,4012,"15,297",0,0
5,5001,"1,022",27,2.6
5,5002,"163,058","1,194",0.7
5,5003,"23,056",14,0.1
5,5004,"29,578","1,526",5.2
5,5005,"1,643",6,0.4
5,5006,"29,128","1,227",4.2
5,5007,"12,715","1,485",11.7
5,5008,"3,047",45,1.5
5,5009,"59,035",14,0
5,5010,"82,409",69,0.1
5,5011,"11,898","2,033",17.1
5,5012,"1,643",112,6.8
5,5013,"1,735",32,1.8
5,5014,"9,502",259,2.7
5,5015,"1,584",14,0.9
5,5016,"1,764",13,0.7
5,5017,"118,337",30,0
5,5018,"237,951",35,0
5,5019,"7,928",16,0.2
5,5020,"71,627",400,0.6
5,5021,"6,539",17,0.3
5,5022,"33,129",103,0.3
5,5023,"9,642","1,522",15.8
5,5024,"44,472","4,488",10.1
5,5025,"176,327",94,0.1
5,5026,"3,239",69,2.1
5,5027,"122,243","1,423",1.2
5,5028,"64,811",178,0.3
5,5029,"2,471",0,0
5,5030,"879,958","4,080",0.5
5,5031,"24,759",123,0.5
5,5032,"42,260",525,1.2
5,5033,"101,041",609,0.6
5,5034,"6,744","5,322",78.9
5,5035,"720,848",60,0
5,5036,"20,305",272,1.3
5,5037,"6,188",148,2.4
5,5038,"13,135",592,4.5
6,6001,"27,626",3,0
6,6002,"157,048",238,0.2
6,6003,"21,661",111,0.5
6,6004,"20,837",286,1.4
6,6005,"31,267",55,0.2
6,6006,"5,623",129,2.3
6,6007,"191,031",735,0.4
6,6008,"10,231",427,4.2
6,6009,"116,305",76,0.1
6,6010,"149,762",203,0.1
7,7001,"17,994","4,547",25.3
7,7002,"21,187","1,028",4.9
7,7003,"26,899","5,578",20.7
7,7004,"36,160","20,533",56.8
7,7005,"24,512","16,216",66.2
7,7006,"31,735","13,879",43.7
7,7007,"11,283","2,217",19.6
7,7008,"31,947","3,648",11.4
7,7009,"41,135","1,112",2.7
7,7010,"7,365","4,733",64.3
7,7011,"20,157","9,129",45.3
7,7012,"64,632","10,777",16.7
7,7013,"37,263","5,042",13.5
7,7014,"24,273","3,409",14
7,7015,"50,112","4,628",9.2
7,7016,"17,619","7,131",40.5
7,7017,"88,106","16,027",18.2
7,7018,"9,900","4,345",43.9
7,7019,"166,178","8,738",5.3
7,7020,"49,920","15,821",31.7
7,7021,"22,192","6,851",30.9
7,7022,"21,915","15,651",71.4
7,7023,"101,967","12,489",12.2
7,7024,"13,678","2,319",17
7,7025,"7,472","2,405",32.2
7,7026,"47,371","29,515",62.3
7,7027,"112,075","10,335",9.2
7,7028,"6,156",0,0
7,7029,"5,402",924,17.1
7,7030,"36,785","17,649",48
7,7031,"137,262","82,629",60.2
7,7032,"30,896","7,659",24.8
7,7033,"7,245","2,490",34.4
7,7034,"80,897","3,374",4.2
7,7035,"14,556",0,0
7,7036,"7,701","3,689",47.9
7,7037,"36,333","3,502",9.6
7,7038,"22,975","7,362",32
7,7039,"27,893","12,307",44.1
7,7040,"53,242","5,788",10.9
7,7041,"46,409","12,724",27.4
7,7042,"11,377","1,346",11.8
7,7043,"10,961","2,573",23.5
7,7044,"28,999","4,560",15.7
7,7045,"6,284","1,572",25
7,7046,"41,063","10,620",25.9
7,7047,"24,966","4,037",16.2
7,7048,"21,807","2,322",10.6
7,7049,"31,259","5,910",18.9
7,7050,"5,232",713,13.6
7,7051,"46,130","10,941",23.7
7,7052,"141,027","56,219",39.9
7,7053,"7,901","4,598",58.2
7,7054,"28,250","2,885",10.2
7,7055,"5,876",0,0
7,7056,"13,755","2,670",19.4
7,7057,"76,398","25,463",33.3
7,7058,"4,765",0,0
7,7059,"234,661","100,279",42.7
7,7060,"14,088","5,006",35.5
7,7061,"97,397","23,047",23.7
7,7062,"18,469","3,320",18
7,7063,"3,983","1,937",48.6
7,7064,"54,932","24,398",44.4
7,7065,"132,265","44,326",33.5
7,7066,"26,391","16,135",61.1
7,7067,"12,266","6,793",55.4
7,7068,"31,919","4,393",13.8
7,7069,"51,193","8,963",17.5
7,7070,"12,263","5,217",42.5
7,7071,"30,297","5,507",18.2
7,7072,"29,636","11,908",40.2
7,7073,"10,866","2,173",20
7,7074,"44,829",451,1
7,7075,"28,829","2,171",7.5
7,7076,"29,889","18,546",62
7,7077,"64,251","30,047",46.8
7,7078,"215,874","2,831",1.3
7,7079,"41,793","5,018",12
7,7080,"25,937","16,453",63.4
7,7081,"52,935","23,682",44.7
7,7082,"15,518","12,549",80.9
7,7083,"19,092","5,990",31.4
7,7084,"8,561","2,442",28.5
7,7085,"10,890","1,091",10
7,7086,"25,627",122,0.5
7,7087,"41,672",813,2
7,7088,"2,308",609,26.4
7,7089,"353,706","21,743",6.1
7,7090,"4,547","2,075",45.6
7,7091,"13,592","1,229",9
7,7092,"21,426","7,804",36.4
7,7093,"48,162","15,348",31.9
7,7094,"49,499","2,265",4.6
7,7096,"83,505","24,102",28.9
7,7097,"91,913","3,529",3.8
7,7098,"7,211","2,535",35.2
7,7099,"83,111","11,709",14.1
7,7100,"38,025","17,038",44.8
7,7101,"604,147","5,441",0.9
7,7102,"41,024",0,0
7,7103,"30,302","2,074",6.8
7,7104,"16,560","4,220",25.5
7,7105,"16,008","3,130",19.6
7,7106,"67,292","5,955",8.8
7,7107,"65,643","16,476",25.1
7,7108,"109,536","15,692",14.3
7,7109,"40,285","11,476",28.5
7,7110,"7,526",781,10.4
7,7111,"45,373","6,736",14.8
7,7112,"37,948","20,873",55
7,7113,"8,480","5,560",65.6
7,7114,"23,603","3,615",15.3
7,7115,"14,714","8,865",60.2
7,7116,"12,892","8,615",66.8
7,7117,"8,412","3,378",40.2
7,7118,"6,047",994,16.4
7,7119,"4,959",75,1.5
7,7120,"4,315","4,315",100
7,7121,"8,718","1,648",18.9
7,7122,"15,587",829,5.3
7,7123,"10,783",833,7.7
7,7124,"23,847","7,954",33.4
7,7125,"11,650","9,840",84.5
8,8001,"14,635","2,277",15.6
8,8002,"26,047","1,025",3.9
8,8003,"8,487",727,8.6
8,8004,"24,344",38,0.2
8,8005,"26,093","2,633",10.1
8,8006,"5,807",552,9.5
8,8007,"16,440","8,796",53.5
8,8008,"11,270","10,804",95.9
8,8009,"23,351","4,269",18.3
8,8010,"25,146","1,040",4.1
8,8011,"49,499",687,1.4
8,8012,"8,113","5,110",63
8,8013,"11,815",521,4.4
8,8014,"2,034",35,1.7
8,8015,"1,230",325,26.4
8,8016,"3,704",2,0.1
8,8017,"180,638","5,191",2.9
8,8018,"5,099","1,596",31.3
8,8019,"937,674","1,375",0.1
8,8020,"6,222","6,222",100
8,8021,"150,506",54,0
8,8022,"2,456",371,15.1
8,8023,"6,656",283,4.3
8,8024,"3,791",161,4.2
8,8025,"7,023",24,0.3
8,8026,"2,448",795,32.5
8,8027,"50,180","22,121",44.1
8,8028,"4,237",587,13.9
8,8029,"50,514","47,596",94.2
8,8030,"8,196","8,196",100
8,8031,"35,473","7,809",22
8,8032,"116,662",554,0.5
8,8033,824,93,11.3
8,8034,"5,196",266,5.1
8,8035,"11,005","4,154",37.7
8,8036,"40,859","1,026",2.5
8,8037,"1,512,450",322,0
8,8038,"4,980",104,2.1
8,8039,"4,122",61,1.5
8,8040,"25,144","3,159",12.6
8,8041,"1,302","1,276",98
8,8042,"1,178",389,33
8,8043,"2,742",139,5.1
8,8044,"4,314",868,20.1
8,8045,"44,853",68,0.2
8,8046,"7,266","6,145",84.6
8,8047,"4,447","4,447",100
8,8048,"22,712","3,225",14.2
8,8049,"2,757",701,25.4
8,8050,"65,753","1,045",1.6
8,8051,"8,127","2,116",26
8,8052,"24,534","1,220",5
8,8053,"5,111",88,1.7
8,8054,"7,695","1,884",24.5
8,8055,"16,776",139,0.8
8,8056,"2,079","1,082",52
8,8057,"2,197",462,21
8,8058,"2,696",61,2.3
8,8059,"5,004",119,2.4
8,8060,"11,582",330,2.8
8,8061,"3,414",953,27.9
8,8062,"29,862",61,0.2
8,8063,"5,320","1,419",26.7
8,8064,"1,448",173,11.9
8,8065,"17,043","14,773",86.7
8,8066,"6,512","6,137",94.2
8,8067,"4,775","1,632",34.2
9,9002,"432,205",0,0
9,9003,"614,447",0,0
9,9004,"217,686",803,0.4
9,9005,"1,173,351",0,0
9,9006,"404,695",0,0
9,9007,"1,835,486",0,0
9,9008,"247,622","1,033",0.4
9,9009,"152,685","9,793",6.4
9,9010,"759,137",134,0
9,9011,"392,313","2,683",0.7
9,9012,"699,928",617,0.1
9,9013,"442,178","3,481",0.8
9,9014,"434,153",0,0
9,9015,"545,884",0,0
9,9016,"414,470",0,0
9,9017,"443,704",0,0
10,10001,"31,454","3,593",11.4
10,10002,"4,321","3,623",83.8
10,10003,"4,084","1,281",31.4
10,10004,"34,955","2,979",8.5
10,10005,"688,697","3,852",0.6
10,10006,"10,038","3,547",35.3
10,10007,"372,750",63,0
10,10008,"36,695",190,0.5
10,10009,"9,869","4,648",47.1
10,10010,"3,843",484,12.6
10,10011,"4,748","1,137",23.9
10,10012,"163,313",910,0.6
10,10013,"26,932","1,668",6.2
10,10014,"48,583","41,399",85.2
10,10015,"12,894",626,4.9
10,10016,"19,060",903,4.7
10,10017,"8,003","2,515",31.4
10,10018,"10,384","3,577",34.4
10,10019,"4,924","4,610",93.6
10,10020,"12,656","1,058",8.4
10,10021,"11,118","1,701",15.3
10,10022,"25,623",18,0.1
10,10023,"51,269","15,922",31.1
10,10024,"12,818","1,030",8
10,10025,"2,837","1,846",65.1
10,10026,"17,333","15,932",91.9
10,10027,"5,251","2,677",51
10,10028,"12,013","2,407",20
10,10029,"2,103",196,9.3
10,10030,"1,633",568,34.8
10,10031,"6,727",884,13.1
10,10032,"49,207","8,303",16.9
10,10033,"6,917","2,354",34
10,10034,"26,300","20,981",79.8
10,10035,"11,378","3,342",29.4
10,10036,"21,143",665,3.1
10,10037,"9,320","9,320",100
10,10038,"23,476",1,0
10,10039,"27,981","7,145",25.5
11,11001,"92,040",263,0.3
11,11002,"108,697","3,963",3.6
11,11003,"174,615","23,441",13.4
11,11004,"63,392",654,1
11,11005,"117,883","3,239",2.7
11,11006,"5,296","2,544",48
11,11007,"521,169","1,144",0.2
11,11008,"41,240","2,868",7
11,11009,"82,216","8,792",10.7
11,11010,"11,083",0,0
11,11011,"97,928",970,1
11,11012,"30,857",402,1.3
11,11013,"27,390","1,553",5.7
11,11014,"163,038","29,641",18.2
11,11015,"194,500","15,246",7.8
11,11016,"21,128",0,0
11,11017,"592,953","6,452",1.1
11,11018,"38,782",2,0
11,11019,"49,517","6,055",12.2
11,11020,"1,721,215","15,410",0.9
11,11021,"47,261",0,0
11,11022,"26,383",449,1.7
11,11023,"154,960","10,111",6.5
11,11024,"12,403",0,0
11,11025,"83,842",655,0.8
11,11026,"65,766",445,0.7
11,11027,"273,417","3,728",1.4
11,11028,"94,126",481,0.5
11,11029,"41,054","6,135",14.9
11,11030,"119,793","26,828",22.4
11,11031,"130,871","6,422",4.9
11,11032,"89,558",440,0.5
11,11033,"128,536","10,273",8
11,11034,"5,723",956,16.7
11,11035,"82,340",725,0.9
11,11036,"6,714",0,0
11,11037,"203,556","1,685",0.8
11,11038,"11,304",142,1.3
11,11039,"35,905",408,1.1
11,11040,"20,007","1,071",5.4
11,11041,"61,494",155,0.3
11,11042,"150,054","1,280",0.9
11,11043,"21,253","4,929",23.2
11,11044,"65,791",0,0
11,11045,"11,143","7,547",67.7
11,11046,"68,741",645,0.9
12,12001,"779,566","13,792",1.8
12,12002,"25,205","15,335",60.8
12,12003,"37,655","8,848",23.5
12,12004,"21,225","10,706",50.4
12,12005,"7,813",0,0
12,12006,"11,112","3,148",28.3
12,12007,"33,267","5,228",15.7
12,12008,"9,147","1,705",18.6
12,12009,"5,811","2,571",44.2
12,12010,"28,491","13,273",46.6
12,12011,"60,680","8,746",14.4
12,12012,"69,123","19,292",27.9
12,12013,"15,099",465,3.1
12,12014,"15,442",125,0.8
12,12015,"12,982",149,1.1
12,12016,"12,408","9,435",76
12,12017,"15,579",727,4.7
12,12018,"14,463",312,2.2
12,12019,"15,598","3,567",22.9
12,12020,"21,648","8,966",41.4
12,12021,"73,056","6,903",9.4
12,12022,"38,554","7,903",20.5
12,12023,"26,627",392,1.5
12,12024,"7,874","2,745",34.9
12,12025,"17,024","3,985",23.4
12,12026,"8,272","1,474",17.8
12,12027,"20,537","4,471",21.8
12,12028,"123,722","39,751",32.1
12,12029,"283,354","12,027",4.2
12,12030,"22,250","1,664",7.5
12,12031,"6,278","3,939",62.7
12,12032,"37,254","25,083",67.3
12,12033,"17,488",52,0.3
12,12034,"36,593","1,636",4.5
12,12035,"154,173",433,0.3
12,12036,"11,739","1,556",13.3
12,12037,"6,138","1,830",29.8
12,12038,"126,001","1,775",1.4
12,12039,"26,093",935,3.6
12,12040,"26,357","5,814",22.1
12,12041,"29,625","12,893",43.5
12,12042,"18,613","3,288",17.7
12,12043,"18,859","6,677",35.4
12,12044,"12,402","2,759",22.2
12,12045,"28,446","9,572",33.6
12,12046,"68,207","2,060",3
12,12047,"7,076","5,190",73.3
12,12048,"44,583","5,406",12.1
12,12049,"12,753",932,7.3
12,12050,"38,482",0,0
12,12051,"36,143","18,227",50.4
12,12052,"46,270","7,802",16.9
12,12053,"50,124","6,137",12.2
12,12054,"24,139","13,076",54.2
12,12055,"105,586","10,472",9.9
12,12056,"46,063","12,877",28
12,12057,"65,237","6,623",10.2
12,12058,"53,817","10,975",20.4
12,12059,"30,806","2,193",7.1
12,12060,"13,552","6,230",46
12,12061,"43,171",17,0
12,12062,"22,781","6,692",29.4
12,12063,"10,092","7,554",74.9
12,12064,"11,681","1,798",15.4
12,12065,"7,602","2,018",26.5
12,12066,"96,125","7,882",8.2
12,12067,"22,209",384,1.7
12,12068,"26,349","5,498",20.9
12,12069,"11,966","2,472",20.7
12,12070,"7,862",668,8.5
12,12071,"29,891","4,807",16.1
12,12072,"12,004","3,422",28.5
12,12073,"18,031","5,325",29.5
12,12074,"21,977","2,907",13.2
12,12075,"53,126","2,254",4.2
12,12076,"40,197","35,685",88.8
12,12077,"14,280","1,021",7.1
12,12078,"21,241","12,287",57.8
12,12079,"18,381","12,320",67
12,12080,"7,559",526,7
12,12081,"11,679","4,731",40.5
13,13001,"22,268","3,412",15.3
13,13002,"46,065","6,092",13.2
13,13003,"61,002","1,282",2.1
13,13004,"10,313","2,561",24.8
13,13005,"18,872",0,0
13,13006,"19,162","1,941",10.1
13,13007,"12,546",179,1.4
13,13008,"46,681",560,1.2
13,13009,"19,836",377,1.9
13,13010,"31,525",2,0
13,13011,"19,812","2,938",14.8
13,13012,"30,135","7,222",24
13,13013,"62,470",757,1.2
13,13014,"16,150","2,799",17.3
13,13015,"19,431","2,254",11.6
13,13016,"60,421","4,915",8.1
13,13017,"12,967",941,7.3
13,13018,"22,903","5,588",24.4
13,13019,"18,909",235,1.2
13,13020,"2,593",920,35.5
13,13021,"15,175",22,0.1
13,13022,"16,285",240,1.5
13,13023,"36,248",16,0
13,13024,"17,607","3,072",17.4
13,13025,"20,673","7,132",34.5
13,13026,"12,766","6,686",52.4
13,13027,"22,846","6,766",29.6
13,13028,"126,781","10,596",8.4
13,13029,"47,425","2,925",6.2
13,13030,"98,654",474,0.5
13,13031,"12,290","2,962",24.1
13,13032,"10,523",0,0
13,13033,"2,895",449,15.5
13,13034,"9,474","3,360",35.5
13,13035,"13,078","2,292",17.5
13,13036,"9,449","2,441",25.8
13,13037,"20,962","6,338",30.2
13,13038,"8,878","1,881",21.2
13,13039,"14,324",47,0.3
13,13040,"9,819","6,851",69.8
13,13041,"47,222",0,0
13,13042,"11,578","3,920",33.9
13,13043,"6,265","3,726",59.5
13,13044,"16,948","1,010",6
13,13045,"9,295",642,6.9
13,13046,"38,492","7,518",19.5
13,13047,"4,748","1,601",33.7
13,13048,"314,331","1,107",0.4
13,13049,"18,723","12,854",68.7
13,13050,"23,641",0,0
13,13051,"202,749","1,672",0.8
13,13052,"38,891","1,963",5
13,13053,"17,699","9,398",53.1
13,13054,"36,796",24,0.1
13,13055,"18,329",384,2.1
13,13056,"39,561",331,0.8
13,13057,"15,142","1,032",6.8
13,13058,"17,441",110,0.6
13,13059,"38,010","1,787",4.7
13,13060,"17,503","7,578",43.3
13,13061,"56,245",321,0.6
13,13062,"31,235","15,560",49.8
13,13063,"90,546","1,407",1.6
13,13064,"10,830",142,1.3
13,13065,"11,768",0,0
13,13066,"13,032",0,0
13,13067,"55,134",0,0
13,13068,"14,340","10,156",70.8
13,13069,"168,302",310,0.2
13,13070,"19,067",159,0.8
13,13071,"9,086","6,769",74.5
13,13072,"11,113",24,0.2
13,13073,"37,722","18,840",49.9
13,13074,"28,626",0,0
13,13075,"21,362",9,0
13,13076,"115,107",19,0
13,13077,"168,369","1,702",1
13,13078,"18,260","12,420",68
13,13079,"7,015","2,368",33.8
13,13080,"24,674","6,642",26.9
13,13081,"38,155","4,672",12.2
13,13082,"21,443",1,0
13,13083,"57,906",275,0.5
13,13084,"39,927","5,612",14.1
14,14001,"23,175","1,355",5.8
14,14002,"25,250",438,1.7
14,14003,"23,630",301,1.3
14,14004,"5,743",101,1.8
14,14005,"16,490",369,2.2
14,14006,"60,386","4,385",7.3
14,14007,"9,433",9,0.1
14,14008,"80,609","3,529",4.4
14,14009,"21,115",10,0
14,14010,"7,758",829,10.7
14,14011,"5,599","1,001",17.9
14,14012,"4,176",65,1.6
14,14013,"64,009","4,999",7.8
14,14014,"8,689",764,8.8
14,14015,"64,931","2,149",3.3
14,14016,"41,552","3,226",7.8
14,14017,"12,880","2,066",16
14,14018,"67,937",176,0.3
14,14019,"7,043","3,837",54.5
14,14020,"10,940","3,927",35.9
14,14021,"20,548",28,0.1
14,14022,"40,139",232,0.6
14,14023,"115,141",5,0
14,14024,"29,267","1,647",5.6
14,14025,"19,689","1,312",6.7
14,14026,"6,334",219,3.5
14,14027,"18,370","4,592",25
14,14028,"2,166",507,23.4
14,14029,"17,820","3,448",19.3
14,14030,"55,196",11,0
14,14031,"3,270","1,858",56.8
14,14032,"5,983",317,5.3
14,14033,"21,226",775,3.7
14,14034,"1,981",256,12.9
14,14035,"53,039","3,234",6.1
14,14036,"20,011",339,1.7
14,14037,"25,920",132,0.5
14,14038,"4,199","1,140",27.1
14,14039,"1,385,629",8,0
14,14040,"8,732","2,197",25.2
14,14041,"5,920",373,6.3
14,14042,"10,015","1,137",11.4
14,14043,"23,258","1,416",6.1
14,14044,"67,969",634,0.9
14,14045,"20,465","1,280",6.3
14,14046,"32,678","1,024",3.1
14,14047,"24,894",1,0
14,14048,"18,982","1,642",8.7
14,14049,"9,425","2,422",25.7
14,14050,"47,105",274,0.6
14,14051,"30,855",49,0.2
14,14052,"5,534",475,8.6
14,14053,"172,403","13,542",7.9
14,14054,"5,368",0,0
14,14055,"21,781",389,1.8
14,14056,"1,815","1,044",57.5
14,14057,"4,099",242,5.9
14,14058,"14,451","2,433",16.8
14,14059,"14,043","1,803",12.8
14,14060,"5,307",399,7.5
14,14061,"22,083","19,007",86.1
14,14062,"3,638",716,19.7
14,14063,"106,050","2,126",2
14,14064,"33,588",856,2.5
14,14065,"11,386",989,8.7
14,14066,"53,659","3,421",6.4
14,14067,"291,839","2,470",0.8
14,14068,"11,303","4,207",37.2
14,14069,"7,734","2,146",27.7
14,14070,"232,852",18,0
14,14071,"2,924","1,569",53.7
14,14072,"7,609",592,7.8
14,14073,"72,230","3,558",4.9
14,14074,"16,792",680,4
14,14075,"3,791",197,5.2
14,14076,"3,095",430,13.9
14,14077,"28,102","1,060",3.8
14,14078,"31,965","1,516",4.7
14,14079,"16,431",273,1.7
14,14080,"5,086","1,976",38.9
14,14081,"3,515",311,8.8
14,14082,"37,186",11,0
14,14083,"87,690",729,0.8
14,14084,"14,997","2,836",18.9
14,14085,"38,955","3,887",10
14,14086,"21,245","1,461",6.9
14,14087,"16,705","1,303",7.8
14,14088,"16,603","1,511",9.1
14,14089,"4,072",222,5.5
14,14090,"7,302",262,3.6
14,14091,"39,839","5,437",13.6
14,14092,"11,039","1,547",14
14,14093,"150,190","4,841",3.2
14,14094,"44,353","3,996",9
14,14095,"9,647",60,0.6
14,14096,"22,758",346,1.5
14,14097,"727,750","6,838",0.9
14,14098,"687,127","3,414",0.5
14,14099,"11,219","3,540",31.6
14,14100,"36,316","5,011",13.8
14,14101,"569,913","1,263",0.2
14,14102,"5,961","1,394",23.4
14,14103,"7,565",116,1.5
14,14104,"4,180",143,3.4
14,14105,"23,573","2,053",8.7
14,14106,"5,482",529,9.6
14,14107,"6,702",0,0
14,14108,"37,518",381,1
14,14109,"19,069","3,687",19.3
14,14110,"13,799",586,4.2
14,14111,"6,627",505,7.6
14,14112,"6,151",254,4.1
14,14113,"16,548",718,4.3
14,14114,"19,063",55,0.3
14,14115,"5,525",608,11
14,14116,"20,088","1,417",7.1
14,14117,"4,388",909,20.7
14,14118,"22,394",642,2.9
14,14119,"30,472",717,2.4
14,14120,"1,476,491","4,932",0.3
14,14121,"33,713",123,0.4
14,14122,"7,466","1,209",16.2
14,14123,"19,279","1,567",8.1
14,14124,"64,806","2,542",3.9
14,14125,"18,341",952,5.2
15,15001,"67,872",860,1.3
15,15002,"171,507",0,0
15,15003,"49,266",110,0.2
15,15004,"15,333","2,007",13.1
15,15005,"174,587","3,785",2.2
15,15006,"12,694",0,0
15,15007,"23,675","1,866",7.9
15,15008,"25,244","8,586",34
15,15009,"53,441",141,0.3
15,15010,"31,898",0,0
15,15011,"75,489","1,084",1.4
15,15012,"12,984",0,0
15,15013,"523,674",0,0
15,15014,"109,384",26,0
15,15015,"31,900",1,0
15,15016,"29,128",74,0.3
15,15017,"10,053",0,0
15,15018,"68,489",400,0.6
15,15019,"36,921",0,0
15,15020,"293,444",0,0
15,15021,"38,643","6,901",17.9
15,15022,"15,107",0,0
15,15023,"40,885",0,0
15,15024,"178,847",0,0
15,15025,"400,057",759,0.2
15,15026,"31,737","2,348",7.4
15,15027,"12,772",0,0
15,15028,"30,045",0,0
15,15029,"200,750",0,0
15,15030,"27,692",0,0
15,15031,"705,193","1,978",0.3
15,15032,"37,436",528,1.4
15,15033,"1,645,352",686,0
15,15034,"10,827",27,0.2
15,15035,"163,244",55,0
15,15036,"46,757",0,0
15,15037,"284,965","1,905",0.7
15,15038,"11,929",0,0
15,15039,"542,211","4,287",0.8
15,15040,"36,911","2,718",7.4
15,15041,"6,475",366,5.7
15,15042,"160,139",223,0.1
15,15043,"30,687",297,1
15,15044,"28,217",0,0
15,15045,"87,671",532,0.6
15,15046,"19,877",77,0.4
15,15047,"76,826",994,1.3
15,15048,"69,264",313,0.5
15,15049,"15,428",0,0
15,15050,"27,116",0,0
15,15051,"170,327",0,0
15,15052,"28,155","2,470",8.8
15,15053,"61,220",17,0
15,15054,"242,307","1,194",0.5
15,15055,"13,807",0,0
15,15056,"33,164",541,1.6
15,15057,"834,434","4,008",0.5
15,15058,"1,077,208",0,0
15,15059,"57,082",149,0.3
