DUCTO,PROYECTO,TIPO,"LONGITUD (KM)",TRAMO,"PERMISO CRE","INICIO DE OPERACIONES","ZONA TARIFARIA","INTEGRADO A SISTRANGAS",NOTAS
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",293.8669397,NACO-HERMOSILLO,G/059/TRA/1999,,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",341.73771,JUAREZ-CHIHUAUA,G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",434.3739,"EL ENCINO-LA LAGUNA",G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",239.1755665,"DURANGO-LA LAGUNA",G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",307.37695,"LA LAGUNA-MONTERREY",G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",244.788856527,"MONTERREY - MONCLOVA",G/061/TRA/1999,1952,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",448.31497,"LA ERMITA- ALTAMIRA",G/061/TRA/1999,1964-1979,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",149.28312573,ALTAMIRA-TUXPAN,G/061/TRA/1999,1964-1979,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",191.89885,TUXPAN-CEMPOALA,G/061/TRA/1999,1956,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",252.394752429,"CEMPOALA-AGUA DULCE",G/061/TRA/1999,1956,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",218.65876,"AGUA DULCE- CIUDAD PEMEX",G/061/TRA/1999,1960,"Zona Sur",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",206.94898,"SANN LUIS POTOSI-PEDRO ESCOBEDO",G/061/TRA/1999,1983,"Zona Occidente",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",338.62112,GUADALAJARA-PENJAMO,G/061/TRA/1999,1981,"Zona Occidente",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",675.6883964,"PEDRO ESCOBEDO-MINATITLAN",G/061/TRA/1999,1977,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",326.68318,"APASEO EL ALTO-LÁZARO CÁRDENAS",G/061/TRA/1999,1983,"Zona Occidente",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",55.84603,RAMAL,G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",13.74282,RAMAL,G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",96.389765,RAMAL,G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",109.4757,RAMAL,G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",38.846171257,"A - PARRAS DE LA FUENTE",G/061/TRA/1999,1962,"Zona Norte",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",62.458309822,"A - GENERAL CEPEDA",G/061/TRA/1999,1952,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
SISTRANGAS,,"Gasoductos existentes operados por CENAGAS",69.138297315,"A- SALTILLO",G/061/TRA/1999,1952,"Zona Golfo",Si,"La longitud y el tramo expresados son estimados, para fines informativos y no corresponden a la ubicación exacta del gasoducto"
