CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
"NO APLICA",6002501170RENG001,"OLG PP MIZTON WHP-LTE 10""X22.68 KM",OLEOGASODUCTO,OPERANDO,"PP MIZTON WHP","PUNTO TERMINACION EN COSTA (LTE)",10,POLIPROPILENO,MULTIFASICO,22.68
"NO APLICA",60020502170RENG001,"OLG LTE-ORF 10""X1.77 KM",OLEOGASODUCTO,OPERANDO,"PUNTO TERMINACION EN COSTA (LTE)","PLANTA RECEPTORA EN TIERRA (ORF)",10,"ACERO AL CARBON",MULTIFASICO,1.77
"NO APLICA",6005BS01170RENG001,"OLD ORF-BSE SAN RAMON 10""X2.64KM",OLEODUCTO,OPERANDO,"PLANTA RECEPTORA EN TIERRA (ORF)","BATERIA DE SEPARACION SAN RAMON",10,"ACERO AL CARBON",MULTIFASICO,2.64
CGD0002520,PEP-SUR-BLJ-GPC-B58-LDD-L0002,"LDD P TIN 2-BAT TIN 3""X0.74 km","LINEA DE DESCARGA",OPERANDO,"POZO TINTAL 2","BATERIA TINTAL",3,"ACERO AL CARBON","ACEITE Y GAS",0.74
"SIN DATO",PEP-NTE-BUR-TOR-663-GDO-D0001,"GDO ERG BRAGADO 1-ERG BAYO 1 6""X10.127KM",GASODUCTO,OPERANDO,"ERG BRAGADO 1","ERG BAYO 1",6,"SIN DATO",,10.127
ND,"SIN DATO","LDD P SINI 1-INT OLG C ESCARBADO 1 BAT PIJ 8"" X 1.579 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 1","NT OLG C ESCARBADO 1 BAT PIJIJE",8,"SIN DATO","ACEITE Y GAS",1.579
CGD0002285,PEP-DUC-PRO-LBNS4-D0803,"LBN RAM 2"" RBN 3""-P OGA 803 2""X0.124 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"RAMAL 2"" EN RBN 3""","POZO OGARRIO 803",2,"ACERO AL CARBONO","DULCE HUMEDO",0.124
CGD0000823,PEP-DUC-PRO-LBNS4-D0803D,"LBN INJ 2"" RAM 3""-P OGA 803D 2""X0.078 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 3""","POZO OGARRIO 803D",2,"ACERO AL CARBONO","GAS DULCE",0.078
CGD0018578,PEP-DUC-PRO-LBNS4-D1472,"LBN INJ 2"" RAM 3""-P OGA 1472 2""X0.140 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN INJ 2"" RAM 3""","POZO OGARRIO 1472",2,"ACERO AL CARBONO","DULCE HUMEDO",0.14
CGD0016367,PEP-DUC-PRO-LBNS4-D1215,"LBN INJ 2"" RBN 4""-P OGA 1215 2""X0.056 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1215",2,"ACERO AL CARBONO","DULCE HUMEDO",0.056
CGD0016365,PEP-DUC-PRO-LBNS4-D1253,"LBN INJ 2"" RBN 4""-P OGA 1253 2""X0.052 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1253",2,"ACERO AL CARBONO","DULCE HUMEDO",0.052
CGD0016350,PEP-DUC-PRO-LBNS4-D1237,"LBN INJ 2"" RBN 4""-P OGA 1237 2""X0.035 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1237",2,"ACERO AL CARBONO","DULCE HUMEDO",0.035
CGD0016366,PEP-DUC-PRO-LBNS4-D1239,"LBN INJ 2"" RBN 4""-P OGA 1239 2""X0.083 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1239",2,"ACERO AL CARBONO","DULCE HUMEDO",0.083
"SIN DATO",PEP-DUC-PRO-LBNS4-D1283,"LBN INJ 2"" RBN 4""-P OGA 1283 2""X0.076 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RBN 4""","POZO OGARRIO 1283",2,"ACERO AL CARBONO","DULCE HUMEDO",0.076
"SIN DATO",PEP-DUC-PRO-LBNS4-D1601,"LBN INJ 2"" RAM 4""-P OGA 1601 2""X0.067 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 4""","POZO OGARRIO 1601",2,"ACERO AL CARBONO","DULCE HUMEDO",0.067
CGD0016385,PEP-DUC-PRO-LBNS4-D1476,"LBN INT 2"" RBN 3""-P OGA 1476 2""X0.138 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 3""","POZO OGARRIO 1476",2,"ACERO AL CARBONO","DULCE HUMEDO",0.138
"SIN DATO",PEP-DUC-PRO-LBNS4-D1600,"LBN INJ 2"" RAM 2""-P OGA 1600 2""X0.073 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 2""","POZO OGARRIO 1600",2,"ACERO AL CARBONO","DULCE HUMEDO",0.073
"SIN DATO",PEP-DUC-PRO-LBNS4-D1488,"LBN 2"" INJ 2""-P OGA 1488 2""X0.080 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN 2"" INJ 2""","POZO OGARRIO 1488",2,"ACERO AL CARBONO","DULCE HUMEDO",0.08
"SIN DATO",PEP-DUC-PRO-LBNS4-D1476D,"LBN 2"" INJ 2""-P OGA 1476D 2""X0.096 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN 2"" INJ 2""","POZO OGARRIO 1476D",2,"ACERO AL CARBONO","DULCE HUMEDO",0.096
CGD0000063,PEP-SDC-GNE-AKJ-P01-GDO-D0179,"GDO AK J - AK C D-0179 24""   X 4.978 KM",GASODUCTO,OPERANDO,"AKAL-J4 (COMPRESION)","AKAL-C (PRODUCCION-2)",24,"ACERO AL CARBON","GAS AMARGO",4.978
CGD0000301,PEP-SDC-GNE-AKN-P01-GDO-D0163,"GDO AKB-P - AKE-P D163 24""  X 3.316 KM",GASODUCTO,"FUERA DE OPERACION TEMPORAL","AKAL-B (PERFORACION)","AKAL-E (PERFORACION)",24,"ACERO AL CARBON","GAS AMARGO",3.316
CGD0009050,PEP-NTE-BUR-LMA-523-LDD-L1110,"LDD QUITRIN 1110-E QUITRIN 2 3""X4.879KM","LINEA DE DESCARGA",OPERANDO,QUITRIN-1110,"ERG QUITRIN 2",3,"ACERO AL CARBONO","DULCE SECO",4.879
"SIN DATO",PEP_DUC_PRO_LDDS4_D0069,"LDD OGARRIO 4-CAB OGARRIO 69 4""X1.003KM","LINEA DE DESCARGA",OPERANDO,OGARRIO-4,"CABEZAL OGARRIO 69",4,"SIN DATO","SIN DATO",1.003
"SIN DATO",PEP_DUC_PRO_LDDS4_D0707,"LDD OGARRIO 707-CAB OGARRIO 707 2""X0.071KM","LINEA DE DESCARGA",OPERANDO,OGARRIO-707,"CABEZAL OGARRIO 707",2,"SIN DATO","SIN DATO",0.071
CGD0001792,PEP-DUC-PRO-LBNS4-D3275,"LDD P OGA 1217-CAB P OGA 1235 3""X0.093km","LINEA DE DESCARGA",OPERANDO,OGARRIO-1217,"CABEZAL OGARRIO 1235",3,"ACERO AL CARBONO",ISTMO,0.093
CGD0001481,"PEP_DUC_PRO_LDDS4_D0004
PEP_DUC_PRO_LDDS4_D0004","LDD P OGA 1401-CAB OGA 827 3""X0.247 km","LINEA DE DESCARGA",OPERANDO,"OGARRIO 827","CABEZAL OGARRIO 827",3,"ACERO AL CARBONO","ACEITE Y GAS",0.247
