"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"ESTACION DE RECOLECCION DE GAS PENA BLANCA 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS",2017/02/15,OPERANDO,2003/12/29
"ESTACION DE RECOLECCION DE GAS CARRETAS 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS CARRETAS 2",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS DUNA 2",CONTRATISTA,"ESTACION DE RECOLECCION",2017/04/07,OPERANDO,
"ESTACION DE RECOLECCION DE GAS BENAVIDES 2",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION DE GAS BENAVIDES 3",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION DE GAS BENAVIDES 4",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO GEMINIS 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO QUITRIN 2",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,2005/03/22
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO SANTA ANITA 1",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO MISION 1A",CONTRATISTA,"ESTACION DE RECOLECCION DE GAS Y CONDENSADO",2018/08/09,OPERANDO,
"ESTACION DE RECOLECCION DE GAS PRIMAVERA 1",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION ALTAMIRA 30",CONTRATISTA,"ESTACION DE RECOLECCION",2018/10/03,"FUERA DE OPERACION TEMPORAL",
