CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,Ambito
010060001009A,"01","006","0001",009A,Urbana
"0100600010244","01","006","0001","0244",Urbana
"0100600010140","01","006","0001","0140",Urbana
"0100600010278","01","006","0001","0278",Urbana
"0100600010070","01","006","0001","0070",Urbana
"0100600010085","01","006","0001","0085",Urbana
"0100600010174","01","006","0001","0174",Urbana
"0100600010102","01","006","0001","0102",Urbana
"0100600010136","01","006","0001","0136",Urbana
"0100600010051","01","006","0001","0051",Urbana
"0100600010282","01","006","0001","0282",Urbana
"0100600010259","01","006","0001","0259",Urbana
"0100600070189","01","006","0007","0189",Urbana
"0100600010263","01","006","0001","0263",Urbana
010060001023A,"01","006","0001",023A,Urbana
"0100800010200","01","008","0001","0200",Urbana
"0100800010179","01","008","0001","0179",Urbana
"0100800010183","01","008","0001","0183",Urbana
"0100800010198","01","008","0001","0198",Urbana
"0100800010164","01","008","0001","0164",Urbana
"0100800010215","01","008","0001","0215",Urbana
"0100900010138","01","009","0001","0138",Urbana
"0100900010104","01","009","0001","0104",Urbana
"0100900010208","01","009","0001","0208",Urbana
"0100900010161","01","009","0001","0161",Urbana
"0100900010087","01","009","0001","0087",Urbana
"0100900250180","01","009","0025","0180",Urbana
"0100900250176","01","009","0025","0176",Urbana
"0100300010204","01","003","0001","0204",Urbana
"0100300010153","01","003","0001","0153",Urbana
"0100300010187","01","003","0001","0187",Urbana
"0100300010308","01","003","0001","0308",Urbana
"0100300010223","01","003","0001","0223",Urbana
"0100300010168","01","003","0001","0168",Urbana
"0100300550242","01","003","0055","0242",Urbana
"0100300550257","01","003","0055","0257",Urbana
"0100300010219","01","003","0001","0219",Urbana
"0100300550276","01","003","0055","0276",Urbana
"0100300010295","01","003","0001","0295",Urbana
"0100300010280","01","003","0001","0280",Urbana
"0100300550238","01","003","0055","0238",Urbana
"0100300010191","01","003","0001","0191",Urbana
"0100300550261","01","003","0055","0261",Urbana
"0100300550172","01","003","0055","0172",Urbana
"0100300550079","01","003","0055","0079",Urbana
"0101000010162","01","010","0001","0162",Urbana
"0101000010158","01","010","0001","0158",Urbana
"0101000010143","01","010","0001","0143",Urbana
010010001216A,"01","001","0001",216A,Urbana
"0100100012649","01","001","0001","2649",Urbana
010010001383A,"01","001","0001",383A,Urbana
010010001287A,"01","001","0001",287A,Urbana
010010001084A,"01","001","0001",084A,Urbana
"0100100012032","01","001","0001","2032",Urbana
"0100100013990","01","001","0001","3990",Urbana
"0100100014471","01","001","0001","4471",Urbana
"0100100010799","01","001","0001","0799",Urbana
"0100100011693","01","001","0001","1693",Urbana
"0100100012278","01","001","0001","2278",Urbana
"0100100012507","01","001","0001","2507",Urbana
"0100100012263","01","001","0001","2263",Urbana
010010001294A,"01","001","0001",294A,Urbana
"0100100013825","01","001","0001","3825",Urbana
"0100100012634","01","001","0001","2634",Urbana
"0100100012013","01","001","0001","2013",Urbana
"0100100012988","01","001","0001","2988",Urbana
010010001045A,"01","001","0001",045A,Urbana
"0100100012884","01","001","0001","2884",Urbana
"0100100010873","01","001","0001","0873",Urbana
"0100100012719","01","001","0001","2719",Urbana
010010001305A,"01","001","0001",305A,Urbana
"0100100012812","01","001","0001","2812",Urbana
"0100100013261","01","001","0001","3261",Urbana
"0100100011689","01","001","0001","1689",Urbana
"0100100011744","01","001","0001","1744",Urbana
"0100100010869","01","001","0001","0869",Urbana
"0100100012460","01","001","0001","2460",Urbana
"0100100010642","01","001","0001","0642",Urbana
"0100100010835","01","001","0001","0835",Urbana
"0100100014081","01","001","0001","4081",Urbana
"0100100010290","01","001","0001","0290",Urbana
"0100100013045","01","001","0001","3045",Urbana
"0100100012259","01","001","0001","2259",Urbana
"0100100014058","01","001","0001","4058",Urbana
"0100100012494","01","001","0001","2494",Urbana
"0100100013153","01","001","0001","3153",Urbana
"0100100013238","01","001","0001","3238",Urbana
"0100100012564","01","001","0001","2564",Urbana
"0100100012314","01","001","0001","2314",Urbana
"0100100011975","01","001","0001","1975",Urbana
"0100100010623","01","001","0001","0623",Urbana
"0100100011354","01","001","0001","1354",Urbana
010010001262A,"01","001","0001",262A,Urbana
"0100100010286","01","001","0001","0286",Urbana
"0100100010746","01","001","0001","0746",Urbana
"0100100013098","01","001","0001","3098",Urbana
"0100100010337","01","001","0001","0337",Urbana
"0100100012969","01","001","0001","2969",Urbana
"0100100010638","01","001","0001","0638",Urbana
"0100100011462","01","001","0001","1462",Urbana
"0100100010445","01","001","0001","0445",Urbana
"0100100013581","01","001","0001","3581",Urbana
"0100100013079","01","001","0001","3079",Urbana
"0100100012047","01","001","0001","2047",Urbana
"0100100012456","01","001","0001","2456",Urbana
010010001369A,"01","001","0001",369A,Urbana
"0100100012297","01","001","0001","2297",Urbana
010010001351A,"01","001","0001",351A,Urbana
"0100100012526","01","001","0001","2526",Urbana
"0100100010888","01","001","0001","0888",Urbana
"0100100011316","01","001","0001","1316",Urbana
"0100100012846","01","001","0001","2846",Urbana
"0100100012579","01","001","0001","2579",Urbana
"0100100014429","01","001","0001","4429",Urbana
"0100100010229","01","001","0001","0229",Urbana
"0100100012210","01","001","0001","2210",Urbana
"0100100013295","01","001","0001","3295",Urbana
"0100100012117","01","001","0001","2117",Urbana
"0100100013064","01","001","0001","3064",Urbana
"0100100012780","01","001","0001","2780",Urbana
