CVE_ENT,CVE_MUN,NOM_MUN,OID_1,CVEGEO,SELECTED,clavegeo,ubicacin_t,denominaci,servicio,ltimo_esta,origen,destino,dimetro_ex,tipo_de_tu,tipo_de_hi,longitud_k,COUNT
"09","012",Tlalpan,"1","09012",1,,,,,,,,,,,,"0"
"09","013",Xochimilco,"2","09013",1,,,,,,,,,,,,"0"
"09","008",La Magdalena Contreras,"3","09008",1,,,,,,,,,,,,"0"
"09","002",Azcapotzalco,"4","09002",1,,,,,,,,,,,,"0"
"09","014",Benito Juárez,"5","09014",1,,,,,,,,,,,,"0"
"09","015",Cuauhtémoc,"6","09015",1,,,,,,,,,,,,"0"
"09","010",Álvaro Obregón,"7","09010",1,,,,,,,,,,,,"0"
"09","005",Gustavo A. Madero,"8","09005",1,,,,,,,,,,,,"0"
"09","004",Cuajimalpa de Morelos,"9","09004",1,,,,,,,,,,,,"0"
"09","016",Miguel Hidalgo,"10","09016",1,,,,,,,,,,,,"0"
"09","006",Iztacalco,"11","09006",1,,,,,,,,,,,,"0"
"09","003",Coyoacán,"12","09003",1,,,,,,,,,,,,"0"
"09","017",Venustiano Carranza,"13","09017",1,,,,,,,,,,,,"0"
"09","011",Tláhuac,"14","09011",1,,,,,,,,,,,,"0"
"09","007",Iztapalapa,"15","09007",1,,,,,,,,,,,,"0"
"09","009",Milpa Alta,"16","09009",1,,,,,,,,,,,,"0"
"12","006",Apaxtla,"17","12006",1,,,,,,,,,,,,"0"
"12","017",Cocula,"18","12017",1,,,,,,,,,,,,"0"
"12","026",Cuetzala del Progreso,"19","12026",1,,,,,,,,,,,,"0"
"12","028",Chilapa de Álvarez,"20","12028",1,,,,,,,,,,,,"0"
"12","029",Chilpancingo de los Bravo,"21","12029",1,,,,,,,,,,,,"0"
"12","031",General Canuto A. Neri,"22","12031",1,,,,,,,,,,,,"0"
"12","032",General Heliodoro Castillo,"23","12032",1,,,,,,,,,,,,"0"
"12","034",Huitzuco de los Figueroa,"24","12034",1,,,,,,,,,,,,"0"
"12","039",Juan R. Escudero,"25","12039",1,,,,,,,,,,,,"0"
"12","040",Leonardo Bravo,"26","12040",1,,,,,,,,,,,,"0"
"12","042",Mártir de Cuilapan,"27","12042",1,,,,,,,,,,,,"0"
"12","044",Mochitlán,"28","12044",1,,,,,,,,,,,,"0"
"12","051",Quechultenango,"29","12051",1,,,,,,,,,,,,"0"
"12","053",San Marcos,"30","12053",1,,,,,,,,,,,,"0"
"12","056",Tecoanapa,"31","12056",1,,,,,,,,,,,,"0"
"12","058",Teloloapan,"32","12058",1,,,,,,,,,,,,"0"
"12","059",Tepecoacuilco de Trujano,"33","12059",1,,,,,,,,,,,,"0"
"12","061",Tixtla de Guerrero,"34","12061",1,,,,,,,,,,,,"0"
