place_id,cre_id,x,location/x,y,location/y,name
2039,PL/658/EXP/ES/2015,-116.9214,-116.9214,32.47641,32.47641,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V."
2040,PL/902/EXP/ES/2015,-99.74484,-99.74484,20.3037,20.3037,"LAS MEJORES ESTACIONES, S.A DE C.V"
2041,PL/760/EXP/ES/2015,-106.4514,-106.4514,31.71947,31.71947,"DIAZ GAS, S.A. DE C.V."
2042,PL/825/EXP/ES/2015,-103.3042,-103.3042,20.71413,20.71413,"COMBU-EXPRESS, S.A. DE C.V."
2043,PL/585/EXP/ES/2015,-98.29977,-98.29977,26.03787,26.03787,"PETROMAX, S.A. DE C.V."
2044,PL/842/EXP/ES/2015,-117.0715,-117.0715,32.51342,32.51342,"ESTACION RAEL, S. DE R.L. DE C.V."
2045,PL/371/EXP/ES/2015,-108.9685,-108.9685,25.7558,25.7558,MULTISERVICIOS LA PILARICA SA DE CV
2046,PL/439/EXP/ES/2015,-100.2918,-100.2918,25.77202,25.77202,"PETROMAX, S.A. DE C.V."
2047,PL/860/EXP/ES/2015,-116.6079,-116.6079,31.86546,31.86546,"ESTACION RAEL, S. DE R.L. DE C.V."
2048,PL/897/EXP/ES/2015,-117.0457,-117.0457,32.31202,32.31202,"ESTACION PIRU, S.A. DE C.V."
2049,PL/561/EXP/ES/2015,-100.184,-100.184,25.65562,25.65562,"PETROMAX, S.A. DE C.V."
2050,PL/797/EXP/ES/2015,-101.4189,-101.4189,26.92554,26.92554,AUTOSERVICIO BERLANGA S.A. DE C.V.
2051,PL/583/EXP/ES/2015,-97.44485,-97.44485,25.83842,25.83842,"PETROMAX, S.A. DE C.V."
2052,PL/366/EXP/ES/2015,-105.1947,-105.1947,21.4739,21.4739,"GRUPO OCTANO, S.A. DE C.V."
2053,PL/635/EXP/ES/2015,-117.0271,-117.0271,32.5279,32.5279,"CIRCULO DOS, S.A. DE C.V."
2054,PL/868/EXP/ES/2015,-99.1973,-99.1973,19.58616,19.58616,"Servicio Sevilla, S.A. de C.V."
2055,PL/558/EXP/ES/2015,-100.2365,-100.2365,25.6788,25.6788,"PETROMAX, S.A. DE C.V."
2056,PL/887/EXP/ES/2015,-92.65437,-92.65437,16.73187,16.73187,"GASOLINERA HUITEPEC, S.A. DE C.V."
2057,PL/454/EXP/ES/2015,-98.20425,-98.20425,26.0139,26.0139,"PETROMAX, S.A. DE C.V."
2058,PL/890/EXP/ES/2015,-104.6217,-104.6217,24.02956,24.02956,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V."
2059,PL/756/EXP/ES/2015,-100.9057,-100.9057,25.57358,25.57358,SERVICIO SIERRA DE ARTEAGA SA DE CV
2060,PL/795/EXP/ES/2015,-106.1008,-106.1008,28.73367,28.73367,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV
2061,PL/505/EXP/ES/2015,-103.9754,-103.9754,19.77838,19.77838,"GRUPO OCTANO, S.A. DE C.V."
2062,PL/708/EXP/ES/2015,-117.0249,-117.0249,32.45102,32.45102,Becktrop Operadora SA de CV
2063,PL/562/EXP/ES/2015,-100.2726,-100.2726,25.73174,25.73174,YLIGARZA S.A. DE C.V.
2064,PL/636/EXP/ES/2015,-117.0466,-117.0466,32.53171,32.53171,"ESTACION LA VICTORIA, S.A. DE C.V."
2065,PL/516/EXP/ES/2015,-100.4652,-100.4652,25.68592,25.68592,"PETROMAX, S.A. DE C.V."
2066,PL/638/EXP/ES/2015,-117.0226,-117.0226,32.51045,32.51045,"ESTACION LA VICTORIA, S.A. DE C.V."
2067,PL/538/EXP/ES/2015,-100.1466,-100.1466,25.66026,25.66026,"PETROMAX, S.A. DE C.V."
2068,PL/619/EXP/ES/2015,-100.9274,-100.9274,25.44151,25.44151,"PETROMAX, S.A. DE C.V."
2069,PL/443/EXP/ES/2015,-98.32712,-98.32712,26.06297,26.06297,"PETROMAX, S.A. DE C.V."
2070,PL/689/EXP/ES/2015,-104.2109,-104.2109,19.03549,19.03549,RAMCAL SA DE CV
2071,PL/650/EXP/ES/2015,-99.13844,-99.13844,19.3231,19.3231,"Gasomac, S.A. de C.V."
2072,PL/866/EXP/ES/2015,-99.16505,-99.16505,19.30205,19.30205,"Autoconsumo los Pinos, S.A. de C.V."
2073,PL/380/EXP/ES/2015,-109.0001,-109.0001,25.77298,25.77298,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V."
2074,PL/764/EXP/ES/2015,-101.1169,-101.1169,25.2563,25.2563,"PETROMAX, S.A. DE C.V."
2075,PL/851/EXP/ES/2015,-102.2834,-102.2834,22.12339,22.12339,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V."
2076,PL/754/EXP/ES/2015,-93.09296,-93.09296,16.73384,16.73384,OLEUM GAS S.A. DE C.V.
