CVE_ENT,CVE_MUN,NOM_MUN,OID_1,CVEGEO,SELECTED,/place/@pl,/place/cre,/place/loc,/place/l_1,/place/l_2,/place/l_3,/place/nam,COUNT,id
9,12,Tlalpan,1,9012,1,241237,PL/821/EXP/ES/2015,,-2479.4401,481.8766,481.8766,"Gasolinería México - Ajusco 1, S.A. de C.V.",25,9649
9,13,Xochimilco,2,9013,1,88920,PL/691/EXP/ES/2015,,-891.83,173.4137,173.4137,"Gasolinería Mallorca, S.A. de C.V.",9,9880
9,8,La Magdalena Contreras,3,9008,1,15811,PL/942/EXP/ES/2015,,-198.4515,38.6439,38.6439,"Grupo Fraba, S. A. de C. V.",2,7906
9,2,Azcapotzalco,4,9002,1,135543,PL/1405/EXP/ES/2015,,-1884.3411,370.1359,370.1359,SERVICIO EL ZACATITO DE AZCAPO S. A. DE C. V.,19,7134
9,14,Benito Juárez,5,9014,1,278078,PL/615/EXP/ES/2015,,-3966.4258,775.3751,775.3751,"PETROMAX, S.A. DE C.V.",40,6952
9,15,Cuauhtémoc,6,9015,1,417364,PL/895/EXP/ES/2015,,-4660.2006,913.1333,913.1333,"SEVEN SERVICE, S.A DE C.V.",47,8880
9,10,Álvaro Obregón,7,9010,1,240883,PL/905/EXP/ES/2015,,-2579.508,503.3639,503.3639,ESTACION DE SERVICIO CORCELES SA DE CV,26,9265
9,5,Gustavo A. Madero,8,9005,1,321998,PL/537/EXP/ES/2015,,-3667.6549,721.0826,721.0826,"PETROMAX, S.A. DE C.V.",37,8703
9,4,Cuajimalpa de Morelos,9,9004,1,37914,PL/784/EXP/ES/2015,,-694.9647,135.55,135.55,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",7,5416
9,16,Miguel Hidalgo,10,9016,1,229434,PL/843/EXP/ES/2015,,-3273.4311,641.2644,641.2644,GASOLINERIA LOMALINDA 0194 S.A DE C.V.,33,6953
9,6,Iztacalco,11,9006,1,81660,PL/1434/EXP/ES/2015,,-990.9853,194.0078,194.0078,Servicio Fento SA de CV,10,8166
9,3,Coyoacán,12,9003,1,160278,PL/650/EXP/ES/2015,,-2478.6409,483.1922,483.1922,"Gasomac, S.A. de C.V.",25,6411
9,17,Venustiano Carranza,13,9017,1,255865,PL/1401/EXP/ES/2015,,-3270.378,641.2768,641.2768,"OPERADORA DE ESTACIONES GL, S.A. DE C.V.",33,7753
9,11,Tláhuac,14,9011,1,30207,PL/1002/EXP/ES/2015,,-396.1803,77.1746,77.1746,"Servicio Cipreses, S.A. de C.V.",4,7552
9,7,Iztapalapa,15,9007,1,397621,PL/695/EXP/ES/2015,,-5746.1096,1123.1179,1123.1179,"Inmobiliaria RAVS, S.A. de C.V.",58,6856
9,9,Milpa Alta,16,9009,1,28394,PL/5072/EXP/ES/2015,,-297.0284,57.5709,57.5709,"OLESMA, S.A. DE C.V.",3,9465
12,6,Apaxtla,17,12006,1,14025,PL/12047/EXP/ES/2015,,-99.9354,18.1315,18.1315,SERVICIO GUADARRAMA S.A. DE C.V.,1,14025
12,17,Cocula,18,12017,1,3274,PL/1935/EXP/ES/2015,,-99.6603,18.2528,18.2528,ESTACION DE SERVICIO COCULA GUERRERO SA DE CV,1,3274
12,26,Cuetzala del Progreso,19,12026,1,,,,,,,,0,0
