,CVEGEO,CARR-KM,LINCARR,RED-KM,LINRED,AREAKM ,DENSCARR,DENSRED,Num_thefts,_merge
0,01001,438.19014175,1053,765.17348651,5500,1178.1,0.3719464746201511,0.6494979089296324,8.0,both
1,01002,173.66298741999998,284,158.98664872999998,615,549.01,0.31632026269102564,0.28958789226061454,0.0,left_only
2,01003,114.43983525,207,193.63031943,598,932.74,0.12269210632116131,0.2075930263846302,0.0,left_only
3,01004,69.95923558,108,28.910152460000013,255,129.74,0.5392264188376753,0.22283145105595817,0.0,left_only
4,01005,151.54950177,438,177.43674381,1292,504.99,0.300103965959722,0.3513668464920097,0.0,left_only
5,01006,85.51062268,239,92.67544823000001,682,197.76,0.43239594801779935,0.4686258506775891,1.0,both
6,01007,142.77279416,307,102.45108757,730,376.2,0.37951300946305155,0.27233143958001066,0.0,left_only
7,01008,75.31893354,62,74.53709276,181,866.7,0.08690311934925579,0.08600103006807429,0.0,left_only
8,01009,94.05028909,139,46.01221494999999,274,232.06,0.40528436219081276,0.19827723412048606,0.0,left_only
9,01010,148.75705142,202,79.94414121,423,509.18,0.29215022471424645,0.1570056585294002,0.0,left_only
10,01011,96.61993254,276,51.34860397000001,611,139.19,0.694158578489834,0.36891015137581734,1.0,both
11,02001,1368.67382238,1270,2196.37491087,4588,53104.72,0.025773110608247253,0.04135931628808136,8.0,both
12,02002,1195.1011156,2111,2162.43691766,8049,15635.47,0.07643525366362508,0.1383032884627069,9.0,both
13,02003,348.08773108,558,535.96938598,2162,2687.22,0.1295345119044961,0.1994512492389905,105.0,both
14,02004,238.23082354000002,632,754.91125186,3920,1235.69,0.19279173865613544,0.61092284623166,9.0,both
15,02005,172.96580108,338,207.86919403000002,1383,499.74,0.34611158018169447,0.4159546844959379,8.0,both
16,03001,527.09055439,288,983.79672071,1207,18331.95,0.02875256338741923,0.05366568863159675,0.0,left_only
17,03002,771.47663718,327,588.2623993700001,881,32059.84,0.02406364589405312,0.01834888756057423,0.0,left_only
18,03003,725.38930946,397,1207.5697563200001,1509,15838.08,0.04580033119292238,0.07624470619671073,0.0,left_only
19,03008,363.91181469,624,595.2789897199999,1878,3751.55,0.09700305598752516,0.15867547806106805,0.0,left_only
20,03009,182.88574411,110,215.30626127,259,4628.59,0.039512193585951656,0.04651659820161215,0.0,left_only
21,04001,212.51988308999998,166,72.11106357000003,426,2101.98,0.10110461711814574,0.03430625580167272,0.0,left_only
22,04002,493.25710409,456,221.88413529000007,1570,3243.96,0.15205400315971837,0.06839915883364779,0.0,left_only
23,04003,559.4844465,592,156.54655147000005,1423,8573.46,0.06525771934551512,0.018259436851632838,0.0,left_only
24,04004,673.5514205000001,404,91.78334456,875,6855.48,0.09825007446597468,0.013388317748720733,0.0,left_only
25,04005,153.67365609,156,66.75783062999999,287,1274.97,0.1205311937457352,0.052360314854467155,0.0,left_only
26,04006,436.92692013,203,261.29042060000006,410,7779.89,0.056161066561352405,0.03358536182388183,0.0,left_only
27,04007,108.46643213,72,36.71370965999999,162,2187.08,0.04959417676993983,0.01678663316385317,0.0,left_only
28,04008,116.10723331,109,31.710971850000018,188,1058.54,0.10968620298713322,0.029957273083681315,0.0,left_only
29,04009,346.58401798,289,33.58781004000001,472,4783.29,0.07245724553184106,0.007021905433289641,0.0,left_only
30,04010,589.95755745,283,62.52577650999999,439,13987.48,0.04217754430748069,0.004470124462018891,0.0,left_only
31,04011,548.22852504,308,171.09336227000003,621,5669.54,0.09669717914328146,0.030177644442053505,0.0,left_only
32,05001,68.76577952,29,5.605193540000007,68,743.15,0.09253283929220212,0.007542479364865784,0.0,left_only
33,05002,107.89037243,169,181.87515403999998,661,11464.05,0.009411191719331302,0.015864825610495417,0.0,left_only
34,05003,66.18795924,55,18.579295290000008,171,251.64,0.2630263838817358,0.07383283774439679,0.0,left_only
35,05004,310.35438609,395,214.20114068,1027,1635.34,0.18977973148703023,0.1309826339966001,0.0,left_only
36,05005,62.424316420000004,20,6.783495689999996,60,2118.82,0.029461830839807062,0.0032015441094571484,0.0,left_only
37,05006,114.0717212,56,161.1674463,319,3343.06,0.03412194851423546,0.04820955839859291,6.0,both
38,05007,148.46808230000002,65,317.93295915,267,10672.29,0.013911548721033631,0.02979050973596107,0.0,left_only
39,05008,62.9449663,70,22.515132719999993,111,1024.91,0.06141511576626239,0.021967912031300302,0.0,left_only
40,05009,223.51437428,278,74.57359357000003,624,2810.06,0.07954078357045757,0.026538078749208212,1.0,both
41,05010,40.72503504,62,28.855600640000006,295,457.46,0.08902425357408299,0.06307786613037207,1.0,both
42,05011,264.37410037,110,217.03117836,282,2640.86,0.10010909339003203,0.08218200827003325,12.0,both
43,05012,140.44410312000002,45,64.28207755999998,165,2926.73,0.047986696114776566,0.02196378810481321,0.0,left_only
