CVEGEO,CARR-KM,LINCARR,RED-KM,LINRED,AREAKM ,DENSCARR,DENSRED,Num_thefts,_merge
01001,438.1901418,1053,765.1734865,5500,1178.1,0.371946475,0.649497909,8,both
01002,173.6629874,284,158.9866487,615,549.01,0.316320263,0.289587892,0,left_only
01003,114.4398353,207,193.6303194,598,932.74,0.122692106,0.207593026,0,left_only
01004,69.95923558,108,28.91015246,255,129.74,0.539226419,0.222831451,0,left_only
01005,151.5495018,438,177.4367438,1292,504.99,0.300103966,0.351366846,0,left_only
01006,85.51062268,239,92.67544823,682,197.76,0.432395948,0.468625851,1,both
01007,142.7727942,307,102.4510876,730,376.2,0.379513009,0.27233144,0,left_only
01008,75.31893354,62,74.53709276,181,866.7,0.086903119,0.08600103,0,left_only
01009,94.05028909,139,46.01221495,274,232.06,0.405284362,0.198277234,0,left_only
01010,148.7570514,202,79.94414121,423,509.18,0.292150225,0.157005659,0,left_only
01011,96.61993254,276,51.34860397,611,139.19,0.694158578,0.368910151,1,both
02001,1368.673822,1270,2196.374911,4588,53104.72,0.025773111,0.041359316,8,both
02002,1195.101116,2111,2162.436918,8049,15635.47,0.076435254,0.138303288,9,both
02003,348.0877311,558,535.969386,2162,2687.22,0.129534512,0.199451249,105,both
02004,238.2308235,632,754.9112519,3920,1235.69,0.192791739,0.610922846,9,both
02005,172.9658011,338,207.869194,1383,499.74,0.34611158,0.415954684,8,both
03001,527.0905544,288,983.7967207,1207,18331.95,0.028752563,0.053665689,0,left_only
03002,771.4766372,327,588.2623994,881,32059.84,0.024063646,0.018348888,0,left_only
03003,725.3893095,397,1207.569756,1509,15838.08,0.045800331,0.076244706,0,left_only
03008,363.9118147,624,595.2789897,1878,3751.55,0.097003056,0.158675478,0,left_only
03009,182.8857441,110,215.3062613,259,4628.59,0.039512194,0.046516598,0,left_only
04001,212.5198831,166,72.11106357,426,2101.98,0.101104617,0.034306256,0,left_only
04002,493.2571041,456,221.8841353,1570,3243.96,0.152054003,0.068399159,0,left_only
04003,559.4844465,592,156.5465515,1423,8573.46,0.065257719,0.018259437,0,left_only
04004,673.5514205,404,91.78334456,875,6855.48,0.098250074,0.013388318,0,left_only
04005,153.6736561,156,66.75783063,287,1274.97,0.120531194,0.052360315,0,left_only
04006,436.9269201,203,261.2904206,410,7779.89,0.056161067,0.033585362,0,left_only
04007,108.4664321,72,36.71370966,162,2187.08,0.049594177,0.016786633,0,left_only
04008,116.1072333,109,31.71097185,188,1058.54,0.109686203,0.029957273,0,left_only
04009,346.584018,289,33.58781004,472,4783.29,0.072457246,0.007021905,0,left_only
04010,589.9575575,283,62.52577651,439,13987.48,0.042177544,0.004470124,0,left_only
04011,548.228525,308,171.0933623,621,5669.54,0.096697179,0.030177644,0,left_only
05001,68.76577952,29,5.60519354,68,743.15,0.092532839,0.007542479,0,left_only
05002,107.8903724,169,181.875154,661,11464.05,0.009411192,0.015864826,0,left_only
05003,66.18795924,55,18.57929529,171,251.64,0.263026384,0.073832838,0,left_only
05004,310.3543861,395,214.2011407,1027,1635.34,0.189779731,0.130982634,0,left_only
05005,62.42431642,20,6.78349569,60,2118.82,0.029461831,0.003201544,0,left_only
05006,114.0717212,56,161.1674463,319,3343.06,0.034121949,0.048209558,6,both
05007,148.4680823,65,317.9329592,267,10672.29,0.013911549,0.02979051,0,left_only
05008,62.9449663,70,22.51513272,111,1024.91,0.061415116,0.021967912,0,left_only
05009,223.5143743,278,74.57359357,624,2810.06,0.079540784,0.026538079,1,both
05010,40.72503504,62,28.85560064,295,457.46,0.089024254,0.063077866,1,both
05011,264.3741004,110,217.0311784,282,2640.86,0.100109093,0.082182008,12,both
05012,140.4441031,45,64.28207756,165,2926.73,0.047986696,0.021963788,0,left_only
05013,44.01212904,8,0.95359577,17,1129.8,0.038955682,0.000844039,0,left_only
05014,150.0146849,130,15.66279084,192,2200.93,0.06815968,0.007116442,0,left_only
05015,116.8580939,28,2.25681356,48,2458.14,0.047539235,0.000918098,0,left_only
05016,3.2812125,2,1.85550233,17,673.36,0.004872895,0.002755587,0,left_only
05017,282.1987269,482,105.9147951,1035,806.04,0.350105115,0.131401413,0,left_only
05018,96.25186307,161,105.9511361,1211,1251.51,0.076908585,0.084658641,2,both
05019,46.86677986,52,30.88062864,173,639.15,0.073326731,0.048315151,0,left_only
05020,282.5921921,116,123.3619237,529,8288.44,0.034094738,0.014883612,0,left_only
05021,44.97634781,50,12.71175652,150,716.57,0.062766161,0.017739727,0,left_only
05022,191.879598,145,93.09459773,400,907.94,0.211335108,0.102533865,0,left_only
05023,169.5758399,43,813.6251425,252,26024.42,0.006516028,0.031263911,0,left_only
05024,371.0423413,199,561.7068172,760,10620.62,0.034936034,0.052888326,14,both
05025,64.78903537,78,100.9218433,711,474.43,0.136561843,0.212722305,0,left_only
05026,158.8742035,78,45.85923874,103,2886.52,0.055040049,0.01588738,0,left_only
05027,418.9439725,414,401.0281435,853,6754.4,0.062025342,0.059372874,12,both
05028,193.0397342,113,51.3515542,464,1976.26,0.097679321,0.02598421,0,left_only
