Mun_code,Num_thefts
01001,8
01006,1
01011,1
02001,8
02002,9
02003,105
02004,9
02005,8
05006,6
05009,1
05010,1
05011,12
05018,2
05024,14
05027,12
05030,1
05033,3
07043,1
07048,2
07062,1
07068,1
07074,8
08001,5
08002,2
08004,3
08011,2
08014,1
08019,24
08021,2
08036,13
08037,9
08055,15
08058,2
08062,3
09002,5
09005,3
09006,2
09010,2
09012,37
09016,1
10005,1
10007,11
10013,6
10036,5
11001,18
11004,79
11005,9
11007,59
11011,49
11012,2
11015,28
11017,365
11020,118
11021,1
11023,86
11024,10
11027,160
11029,5
11032,2
11033,5
11037,223
11041,14
11042,56
11043,2
11044,65
11046,45
13005,78
13008,1
13010,42
13012,1
13013,115
13015,2
13016,262
13017,76
13022,29
13027,1
13029,28
13036,1
13039,1
13044,39
13048,30
13051,13
13052,96
13053,1
13056,56
13057,36
13061,66
13063,29
13064,57
13065,79
13066,1
13067,37
13070,51
13072,72
13074,53
13076,177
13077,8
14009,37
14013,45
14016,17
14033,26
14035,6
14051,10
14053,25
14070,6
14073,1
14083,102
14097,158
14101,3
14105,35
14109,5
14120,20
14124,81
15001,50
15002,92
15003,55
15005,12
15010,3
15014,21
15016,167
15023,16
15024,34
15028,10
15033,15
15035,36
15042,44
15044,4
15045,27
15048,8
15053,23
15059,22
15061,3
15065,147
15068,1
15069,4
15071,31
15075,2
15079,20
15081,7
15084,2
15091,31
15092,31
15093,32
15100,60
15104,12
15106,19
15108,1
15109,12
15120,2
15121,6
15125,3
16018,40
16020,88
16030,3
16053,7
16069,2
16088,52
16102,1
17007,11
17009,122
19001,10
19006,9
19009,16
19010,3
19011,4
19013,6
19016,2
19018,5
19020,33
19021,7
19022,4
19025,1
19027,1
19029,1
19033,2
19037,27
19038,15
19040,1
19041,13
19042,12
19047,6
19048,17
20002,6
20005,21
20010,19
20030,5
20043,17
20057,28
20067,9
20079,2
20124,9
20198,22
20427,10
21001,69
21004,69
21008,24
21015,26
21034,53
21041,17
21045,1
21060,1
21063,33
21071,29
21074,37
21075,1
21086,9
21110,90
21114,37
21115,77
21118,4
21132,255
21134,77
21136,6
21143,30
21154,5
21164,131
21180,48
21181,7
21194,9
21197,26
22006,26
22008,11
22012,23
22014,7
22016,121
24028,1
24032,7
24033,1
24050,2
25001,4
25006,51
25011,17
25012,26
25013,82
25015,82
25017,2
25018,1
26012,24
26018,11
26025,3
26029,32
26030,12
27002,111
27004,7
27005,7
27006,34
27008,122
27009,3
27010,3
27011,1
27012,1
27013,2
27014,6
27016,1
28002,4
28003,428
28008,6
28009,5
28012,223
28013,2
28016,7
28019,39
28022,129
28023,1
28032,69
28033,145
28040,16
28041,12
28043,2
29006,76
29013,1
29021,33
29023,51
29033,2
29039,1
29052,1
30003,139
30004,2
30014,7
30015,1
30022,2
30030,2
30033,8
30039,1
30040,3
30041,1
30045,31
30048,15
30052,16
30054,29
30059,12
30068,3
30073,53
30074,9
30077,12
30085,45
30089,8
30091,2
30094,97
30099,6
30105,1
30108,6
30113,1
30115,5
30116,9
30117,107
30120,5
30121,1
30123,3
30131,2
30133,2
30135,6
30138,5
30142,10
30144,26
30145,29
30169,9
30172,22
30174,120
30175,44
30181,2
30188,1
30189,3
30190,3
30191,1
30193,4
30207,21
31050,3
31059,2
32017,2
32025,2
